Host CoM,Host HalfM* radius,Host ID,Host KappaCorot,Host M*,Host M* Iron,Host M* Metal,Host Mgas,Host Mhyd,Host Mtot,Host R200,Host i,Host vel,Sat CoM,Sat HalfM* radius,Sat ID,Sat M*,Sat M* Iron,Sat M* Metal,Sat Mgas,Sat Mhyd,Sat Mtot,Sat i,Sat vel,Volume
"[309.20709228515625, 388.4029846191406, 260.89239501953125]",1.148268699645996,1,0.21396131813526154,198003056.0,0.0005337548209354281,0.009452478028833866,297047072.0,23222572.0,32406611968.0,65.77474008177555,0,"[441.211669921875, 510.0116271972656, 551.88525390625, -118.91752624511719, 59.97767639160156, 30.913843154907227]","[[309.20428466796875, 388.37188720703125, 260.8445739746094], [309.2257385253906, 388.3831787109375, 260.85894775390625], [309.21246337890625, 388.35601806640625, 260.88494873046875], [309.2237548828125, 388.37322998046875, 260.9109802246094], [309.1736145019531, 388.4115905761719, 260.85540771484375], [309.2252502441406, 388.3981628417969, 260.9133605957031], [309.2571105957031, 388.34197998046875, 260.92376708984375], [309.2748718261719, 388.4129638671875, 260.86004638671875], [309.2026672363281, 388.3431396484375, 260.8483581542969], [309.26007080078125, 388.42596435546875, 260.8736572265625], [309.1819763183594, 388.41033935546875, 260.87750244140625], [309.2269592285156, 388.366455078125, 260.91552734375], [309.16412353515625, 388.4239807128906, 260.83636474609375], [309.2160949707031, 388.3955383300781, 260.8726501464844], [309.1837158203125, 388.3636779785156, 260.8254089355469], [309.19451904296875, 388.4032897949219, 260.9559020996094], [309.1947937011719, 388.43817138671875, 260.9549865722656], [309.20947265625, 388.4037780761719, 260.91510009765625], [309.16033935546875, 388.4610595703125, 260.9031677246094], [309.1619567871094, 388.4346008300781, 260.9450988769531], [309.2392578125, 388.3519287109375, 260.8373107910156], [309.1881408691406, 388.3822021484375, 260.87335205078125], [309.2444152832031, 388.366943359375, 260.8844299316406]]","[0.0, 0.0, 0.0, 0.6886575222015381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1622531414031982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14733, 14734, 14735, 14736, 14737, 14738, 14739, 14740, 14741, 14742, 14743, 14744, 14745, 14746, 14747, 14748, 14749, 14750, 14751, 14752, 14753, 14754, 14755]","[0.0, 0.0, 0.0, 403298.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 265187.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.000104546059446875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2247942726826295e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0022763737943023443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000778607209213078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[197861104.0, 65953700.0, 55969884.0, 29447134.0, 28741288.0, 20875254.0, 23295572.0, 22387954.0, 19967636.0, 19060020.0, 16034619.0, 9946466.0, 13311759.0, 9076198.0, 9681278.0, 9378737.0, 8773658.0, 7260958.5, 6655878.5, 6655878.5, 6050799.0, 6050799.0, 6050799.0]","[14732, 14733, 14734, 14735, 14736, 14737, 14738, 14739, 14740, 14741, 14742, 14743, 14744, 14745, 14746, 14747, 14748, 14749, 14750, 14751, 14752, 14753, 14754]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.0412425994873047, 5.638683795928955, 5.398086071014404, -3.8100690841674805, 3.9223148822784424, -4.371875762939453], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.221219301223755, 3.256774425506592, 0.5784038305282593, -2.6896114349365234, -1.13347327709198, 1.3724907636642456], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[304.4826965332031, 381.2768859863281, 257.549072265625]",0.8765724897384644,2,0.16304142773151398,7522739.0,0.00018447813636157662,0.004280498251318932,107239120.0,13316362.0,10808270848.0,44.608702193793555,1,"[176.8511199951172, 139.90199279785156, 187.7537841796875, -28.356626510620117, -48.366432189941406, -5.26742696762085]","[[304.4870910644531, 381.31585693359375, 257.5614013671875], [304.5083312988281, 381.3033142089844, 257.5018615722656], [304.4635009765625, 381.3064880371094, 257.5381774902344], [304.4606018066406, 381.3195495605469, 257.5478515625], [304.4859313964844, 381.2703552246094, 257.55914306640625], [304.4801940917969, 381.31488037109375, 257.52154541015625], [304.48553466796875, 381.29632568359375, 257.5314636230469], [304.4804992675781, 381.2976379394531, 257.5689697265625], [304.49609375, 381.270751953125, 257.5296936035156], [304.52313232421875, 381.2873840332031, 257.5482482910156], [304.483154296875, 381.3467102050781, 257.4914245605469], [304.5238952636719, 381.28289794921875, 257.5637512207031], [304.48486328125, 381.3603210449219, 257.5246887207031]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2880738079547882, 0.18151818215847015]","[14756, 14757, 14758, 14759, 14760, 14761, 14762, 14763, 14764, 14765, 14766, 14767, 14768]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130905.4765625, 408366.84375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011642103345366195]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013223363785073161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[88341664.0, 23295572.0, 22085416.0, 21782876.0, 20270176.0, 10891439.0, 10286359.0, 10286359.0, 8471118.0, 8471118.0, 6050799.0, 281493024.0, 1223577216.0]","[14755, 14756, 14757, 14758, 14759, 14760, 14761, 14762, 14763, 14764, 14765, 14766, 14767]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [8.018385887145996, 18.157691955566406, 12.615113258361816, -7.881311416625977, -0.8784644603729248, 12.279898643493652]]",05
"[310.5361022949219, 387.5054931640625, 260.8535461425781]",1.4343181848526,3,0.15284055471420288,32862876.0,0.0002261460031149909,0.00459993677213788,22745026.0,960745.875,9736821760.0,44.630896692003844,2,"[200.1178741455078, 195.60421752929688, 250.93699645996094, 3.223498821258545, 1.482950210571289, -8.92900276184082]","[[310.50927734375, 387.51934814453125, 260.8074645996094], [310.5272216796875, 387.51495361328125, 260.8392639160156], [310.5720520019531, 387.5035705566406, 260.8681335449219], [310.5267639160156, 387.44677734375, 260.8424987792969], [310.537353515625, 387.54010009765625, 260.8831787109375], [310.48748779296875, 387.47735595703125, 260.8525085449219], [310.59521484375, 387.4848327636719, 260.85870361328125], [310.5831298828125, 387.49456787109375, 260.8645324707031], [310.5480651855469, 387.5397033691406, 260.8466796875]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14769, 14770, 14771, 14772, 14773, 14774, 14775, 14776, 14777]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[50524164.0, 25715892.0, 23598112.0, 16942238.0, 12101598.0, 9378737.0, 8773658.0, 8168578.0, 7866038.5]","[14768, 14769, 14770, 14771, 14772, 14773, 14774, 14775, 14776]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[301.9554443359375, 383.3571472167969, 252.99411010742188]",1.0811296701431274,4,0.14289705455303192,17624666.0,0.00011379600618965924,0.002294738544151187,37570536.0,9133967.0,9248467968.0,42.69596021459272,3,"[192.601806640625, 156.40191650390625, 159.09814453125, 15.6214599609375, -12.19424057006836, 29.779512405395508]","[[301.9769592285156, 383.3504638671875, 253.05491638183594], [301.9625244140625, 383.387939453125, 252.99139404296875], [302.0113220214844, 383.36846923828125, 253.0255126953125], [301.9814453125, 383.3975524902344, 252.973876953125], [301.9616394042969, 383.3809509277344, 252.987548828125], [301.9238586425781, 383.3821105957031, 253.02224731445312], [301.9699401855469, 383.3275451660156, 253.04769897460938], [301.95233154296875, 383.29864501953125, 252.99497985839844], [301.93487548828125, 383.3490295410156, 252.9717559814453], [301.97955322265625, 383.3799133300781, 253.00291442871094], [301.9597473144531, 383.358154296875, 253.03672790527344], [302.0130615234375, 383.3695068359375, 253.01864624023438]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14778, 14779, 14780, 14781, 14782, 14783, 14784, 14785, 14786, 14787, 14788, 14789]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[93182304.0, 88039120.0, 42658132.0, 22690494.0, 15732079.0, 11193980.0, 6655878.5, 6958418.0, 10588899.0, 10286359.0, 7563498.5, 7260958.5]","[14777, 14778, 14779, 14780, 14781, 14782, 14783, 14784, 14785, 14786, 14787, 14788]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[305.6110534667969, 384.6919860839844, 255.89666748046875]",0.8203497529029846,5,0.2566295266151428,2020573.5,0.0001835747534641996,0.0014212223468348384,106395352.0,10196483.0,7657088512.0,39.800741754820855,4,"[87.84922790527344, 174.6026611328125, 66.0713119506836, 96.86168670654297, 22.39323616027832, 32.178497314453125]","[[305.6228332519531, 384.6885681152344, 255.84959411621094], [305.6034851074219, 384.6403503417969, 255.90293884277344], [305.64471435546875, 384.6672668457031, 255.9069061279297], [305.6188659667969, 384.7137756347656, 255.93646240234375], [305.6025085449219, 384.6510009765625, 255.90330505371094], [305.5896911621094, 384.7268981933594, 255.8907928466797], [305.618896484375, 384.69232177734375, 255.90328979492188], [305.65838623046875, 384.67059326171875, 255.9031219482422], [305.5575866699219, 384.6754150390625, 255.89085388183594], [305.5952453613281, 384.70147705078125, 255.8614044189453], [305.672119140625, 384.678466796875, 255.91322326660156]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14790, 14791, 14792, 14793, 14794, 14795, 14796, 14797, 14798, 14799, 14800]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 229731.390625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3666062355041504]","[46893688.0, 32069230.0, 21177794.0, 12404138.0, 9378737.0, 8168578.0, 7260958.5, 8471118.0, 7866038.5, 6050799.0, 381732608.0]","[14789, 14790, 14791, 14792, 14793, 14794, 14795, 14796, 14797, 14798, 14799]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[303.9837646484375, 380.9622802734375, 257.36138916015625]",0.967586100101471,6,0.13218747079372406,660143.375,2.826912168529816e-05,0.0002768906415440142,128251288.0,15616638.0,5770977792.0,40.07479238605475,5,"[482.4683532714844, 14.286972999572754, 37.86757278442383, -55.43270492553711, 41.07917022705078, -12.96909236907959]","[[303.9778747558594, 380.9631652832031, 257.3971862792969], [303.98089599609375, 380.9616394042969, 257.3580627441406], [303.9378967285156, 380.9996032714844, 257.3490295410156], [303.9859619140625, 380.982666015625, 257.3697814941406], [303.9312744140625, 380.9734802246094, 257.3774719238281], [303.9820556640625, 380.9716796875, 257.3624267578125], [303.99267578125, 380.96514892578125, 257.3675537109375], [304.0108642578125, 380.9644470214844, 257.36126708984375], [304.0165100097656, 380.9334716796875, 257.3634033203125], [303.9687194824219, 380.9560852050781, 257.3487243652344], [303.9688415527344, 380.9566650390625, 257.3500061035156]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1630706638097763]","[14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 15759]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 131140.046875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3687769.75, 17057776.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2676202.0, 12391529.0]","[54759724.0, 29648910.0, 41447972.0, 40842892.0, 24808274.0, 23295572.0, 7866038.5, 13614300.0, 7866038.5, 677444288.0, 67410536.0]","[14800, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 15758]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[304.76507568359375, 381.3104248046875, 258.1683044433594]",1.0168670415878296,7,0.1916721761226654,5215678.0,0.00011674684355966747,0.002107919193804264,45792120.0,2974.3623046875,6140531200.0,37.498079703212575,6,"[119.24351501464844, 73.21415710449219, 237.6572723388672, -6.66368293762207, -73.10101318359375, -39.877044677734375]","[[304.7419128417969, 381.33013916015625, 258.15533447265625], [304.7867736816406, 381.29461669921875, 258.1908874511719], [304.7226257324219, 381.3081359863281, 258.192626953125], [304.73272705078125, 381.3315734863281, 258.195068359375], [304.7757873535156, 381.3365173339844, 258.11773681640625], [304.7786865234375, 381.29620361328125, 258.1758117675781]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14811, 14812, 14813, 14814, 14815, 14816]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42053052.0, 17244778.0, 9378737.0, 63230840.0, 75332440.0, 78357840.0]","[14810, 14811, 14812, 14813, 14814, 14815]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[307.6500244140625, 391.4233093261719, 261.84051513671875]",0.8381925821304321,8,0.15357166528701782,2432863.75,8.263922791229561e-05,0.0017149843042716384,48811784.0,2683176.0,5832782336.0,36.54055398166291,7,"[114.29174041748047, 147.69602966308594, 91.22632598876953, 75.01575469970703, 39.758750915527344, 71.78984069824219]","[[307.63134765625, 391.3787841796875, 261.8619079589844], [307.63873291015625, 391.416748046875, 261.835693359375], [307.656005859375, 391.44830322265625, 261.8125305175781], [307.62603759765625, 391.45928955078125, 261.832275390625], [307.6517028808594, 391.4187927246094, 261.85296630859375], [307.629638671875, 391.4261779785156, 261.84783935546875], [307.6341552734375, 391.4471435546875, 261.8312683105469], [307.62335205078125, 391.4011535644531, 261.8273010253906], [307.6335144042969, 391.4650573730469, 261.8082275390625]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14817, 14818, 14819, 14820, 14821, 14822, 14823, 14824, 14825]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42355592.0, 23295572.0, 20572714.0, 17849858.0, 16942238.0, 13311759.0, 12706678.0, 11496520.0, 9681278.0]","[14816, 14817, 14818, 14819, 14820, 14821, 14822, 14823, 14824]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[308.482666015625, 390.69036865234375, 262.29901123046875]",1.054773211479187,9,0.15871743857860565,3232069.25,0.00016091224097181112,0.0012331806356087327,28016300.0,434668.09375,5408290304.0,35.879552506606565,8,"[114.73197937011719, 87.62629699707031, 94.08938598632812, 13.34886360168457, 56.407379150390625, 7.459381580352783]","[[308.4985046386719, 390.68536376953125, 262.26983642578125], [308.4772033691406, 390.7313537597656, 262.33673095703125], [308.4688415527344, 390.66259765625, 262.31072998046875], [308.4789123535156, 390.718505859375, 262.29644775390625], [308.4462890625, 390.6712646484375, 262.2467346191406], [308.4769592285156, 390.72283935546875, 262.2929382324219]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14826, 14827, 14828, 14829, 14830, 14831]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9378737.0, 7563498.5, 6958418.0, 6655878.5, 54759724.0, 83501024.0]","[14825, 14826, 14827, 14828, 14829, 14830]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[304.1820373535156, 381.1516418457031, 257.4471130371094]",0.8276717662811279,10,0.321776807308197,1738807.25,0.00010872787242988124,0.001679563894867897,51427856.0,4124.158203125,5036603904.0,35.34587429810628,9,"[224.62738037109375, 72.53900146484375, 150.91107177734375, 15.566227912902832, -70.43780517578125, 25.362930297851562]","[[304.1715393066406, 381.15716552734375, 257.4486999511719], [304.1925048828125, 381.17266845703125, 257.4493713378906], [304.1836853027344, 381.1589660644531, 257.4375305175781], [304.2086486816406, 381.1584777832031, 257.4230041503906], [304.18731689453125, 381.13885498046875, 257.4712219238281], [304.19049072265625, 381.1524963378906, 257.4378967285156], [304.1502380371094, 381.1431579589844, 257.48583984375], [304.2313232421875, 381.1335144042969, 257.4367980957031]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14832, 14833, 14834, 14835, 14836, 14837, 14838, 14839]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[67466392.0, 31766690.0, 17244778.0, 13916840.0, 9681278.0, 8471118.0, 9076198.0, 33581924.0]","[14831, 14832, 14833, 14834, 14835, 14836, 14837, 14838]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
"[306.6208190917969, 391.87451171875, 261.21661376953125]",1.3235836029052734,11,0.2159012407064438,4668636.5,6.502102769445628e-05,0.001058740308508277,19730204.0,806.3175048828125,4665966080.0,33.962905668498884,10,"[113.03719329833984, 56.42456817626953, 53.6588134765625, 13.204141616821289, 8.469170570373535, 7.404433250427246]","[[306.6371765136719, 391.8628234863281, 261.2065734863281], [306.60791015625, 391.8710021972656, 261.19952392578125], [306.61346435546875, 391.88336181640625, 261.2227478027344]]","[0.0, 0.0, 0.0]","[14840, 14841, 14842]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[13916840.0, 8471118.0, 6353338.5]","[14839, 14840, 14841]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",05
